# funnel_summary
events,216
sessions,3

# mission_funnel
mission_key,entered,completed,conversion_rate
guided_briefing,46,0,0
preview,2,0,0
readiness,51,0,0
review,0,2,
share,0,1,
strategy_recipe,6,0,0

# cockpit_stage_funnel
stage,entered,completed,abandoned
readiness,51,18,2
guided_briefing,46,6,41
strategy_recipe,6,5,2
preview,2,2,0

# credit_surprises_by_operation
operation,surprise_count,total_delta,max_abs_delta

# session_stage_timeline
session_id,stage,completed_at,gap_from_previous_ms
466ef707-f9ba-430a-b03f-0065b9bee52d,readiness,2026-06-11T12:10:53.067Z,
466ef707-f9ba-430a-b03f-0065b9bee52d,readiness,2026-06-11T12:11:47.872Z,54805
466ef707-f9ba-430a-b03f-0065b9bee52d,readiness,2026-06-11T12:11:47.900Z,28
466ef707-f9ba-430a-b03f-0065b9bee52d,readiness,2026-06-11T12:12:02.967Z,15067
466ef707-f9ba-430a-b03f-0065b9bee52d,readiness,2026-06-11T12:13:24.228Z,81261
466ef707-f9ba-430a-b03f-0065b9bee52d,readiness,2026-06-11T12:18:27.500Z,303272
466ef707-f9ba-430a-b03f-0065b9bee52d,strategy_recipe,2026-06-11T12:21:06.549Z,159049
466ef707-f9ba-430a-b03f-0065b9bee52d,strategy_recipe,2026-06-11T12:21:39.184Z,32635
466ef707-f9ba-430a-b03f-0065b9bee52d,readiness,2026-06-11T12:22:53.061Z,73877
466ef707-f9ba-430a-b03f-0065b9bee52d,strategy_recipe,2026-06-11T12:23:27.791Z,34730
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:36:59.654Z,
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:36:59.654Z,0
89669961-c3e0-44d3-9c76-e3b601707080,strategy_recipe,2026-06-11T12:37:41.770Z,42116
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:39:45.274Z,123504
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:39:45.276Z,2
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:41:09.976Z,84700
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:41:09.976Z,0
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:41:28.959Z,18983
89669961-c3e0-44d3-9c76-e3b601707080,readiness,2026-06-11T12:41:28.960Z,1

# events
id,workspace_id,session_id,event_key,source,stage,mission_key,created_at,properties_json
31adef6a-f4ba-455e-bcb6-aace141dc1e4,95cd1bfc-0933-45e1-8688-3110a266cb4d,f32d2ba1-df02-491e-becd-fcc1905723d4,cockpit_stage_entered,client,guided_briefing,guided_briefing,2026-06-11T12:44:22.859Z,"{""stage"":""guided_briefing"",""missionKey"":""guided_briefing""}"
9eed1b2c-b2fb-49a4-b3c4-48a83ed8ed0d,95cd1bfc-0933-45e1-8688-3110a266cb4d,f32d2ba1-df02-491e-becd-fcc1905723d4,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:42:40.265Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
c9e18e3b-e024-4e10-8c77-648dda2177c2,95cd1bfc-0933-45e1-8688-3110a266cb4d,f32d2ba1-df02-491e-becd-fcc1905723d4,cockpit_stage_abandoned,client,guided_briefing,guided_briefing,2026-06-11T12:42:40.182Z,"{""stage"":""guided_briefing"",""stepId"":""unknown"",""missionKey"":""guided_briefing""}"
7433d5c0-0b0d-45ac-b633-731f50b16192,95cd1bfc-0933-45e1-8688-3110a266cb4d,f32d2ba1-df02-491e-becd-fcc1905723d4,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:42:40.176Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
ed218233-4f51-43d9-a960-137ad3295d4a,95cd1bfc-0933-45e1-8688-3110a266cb4d,f32d2ba1-df02-491e-becd-fcc1905723d4,cockpit_stage_entered,client,guided_briefing,guided_briefing,2026-06-11T12:42:39.568Z,"{""stage"":""guided_briefing"",""missionKey"":""guided_briefing""}"
4ba38336-a2df-4231-8283-cda677b32a81,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:41:28.960Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
0462a87e-8162-481a-a16d-42f1dbc08eb5,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:41:28.959Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
8bfcd52b-014a-43c4-a272-e607e6b990bf,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:41:28.667Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
c2936c25-a9ba-4400-92df-b4e24c199305,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:41:28.663Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
dfc58a6e-46a7-4ab9-93dc-8bac162fe3fb,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:41:09.976Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
e015d68a-7569-45aa-aaca-a6face95e677,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:41:09.976Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
67e6dbd2-ae10-4311-a59a-84663953c25f,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:41:09.792Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
32a3c54c-c662-460b-a334-9607195757de,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:41:09.788Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
b6c37111-81c6-483f-b5cb-ff8854fd51e9,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:39:45.276Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
621ff46d-589b-4e0c-a0c8-11a1ac4cdab3,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:39:45.274Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
2187437e-4720-44f0-9efd-58c1f40e9d84,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:39:45.083Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
53b15fdd-b61f-4e26-b917-e59e0d04b81e,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:39:45.067Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
20207be8-4f1f-4b49-a017-0f3d028dadd7,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_abandoned,client,guided_briefing,guided_briefing,2026-06-11T12:39:45.050Z,"{""stage"":""guided_briefing"",""stepId"":""unknown"",""missionKey"":""guided_briefing""}"
b834999c-cb2a-412f-b364-a042a9d5d859,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,guided_briefing,guided_briefing,2026-06-11T12:39:44.688Z,"{""stage"":""guided_briefing"",""missionKey"":""guided_briefing""}"
a8516f81-e890-4c45-9bec-a34e95dcfa7d,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,strategy_recipe,strategy_recipe,2026-06-11T12:37:41.770Z,"{""stage"":""strategy_recipe"",""missionKey"":""strategy_recipe""}"
02f0be77-955b-4f07-9a77-1dd22dfef77b,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,recipe_selected,client,strategy_recipe,strategy_recipe,2026-06-11T12:37:32.663Z,"{""stage"":""strategy_recipe"",""recipeId"":""safe_iteration"",""missionKey"":""strategy_recipe""}"
8c9756d4-51f7-4b35-a702-cc49c5ecee8a,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,recipe_tradeoff_viewed,client,strategy_recipe,strategy_recipe,2026-06-11T12:37:23.202Z,"{""stage"":""strategy_recipe"",""missionKey"":""strategy_recipe""}"
6ce331a8-e979-4a53-afbc-3bd5f3846224,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,strategy_recipe,strategy_recipe,2026-06-11T12:37:23.158Z,"{""stage"":""strategy_recipe"",""missionKey"":""strategy_recipe""}"
f35aed8b-7a5f-4f3e-9580-d6cc70581d5e,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:36:59.654Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
af084abb-3245-4a3b-9960-92bc06ea6e05,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_completed,client,readiness,readiness,2026-06-11T12:36:59.654Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
6a3eda15-f026-447c-939f-28cc0abf5889,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:36:59.521Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
23496c7b-1585-4021-9c4f-9b1eff92df09,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:36:59.520Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
19d210dc-fd6c-4fab-a3d5-1b2ff796240b,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:36:26.681Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
b9c3cbde-6b88-4dd7-8f81-6f72eeff094c,95cd1bfc-0933-45e1-8688-3110a266cb4d,89669961-c3e0-44d3-9c76-e3b601707080,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:36:26.668Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
11c2eea0-0ce3-4444-9205-6da0c9c39297,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:31:24.256Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
0a5393a9-2317-4faf-8946-56e3c68d4a09,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:31:24.187Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
028f6712-c41d-469b-8589-0ec6d5effb4b,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_abandoned,client,guided_briefing,guided_briefing,2026-06-11T12:31:24.183Z,"{""stage"":""guided_briefing"",""stepId"":""unknown"",""missionKey"":""guided_briefing""}"
a426f793-55c7-43b1-ae80-a6eecbb61170,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,guided_briefing,guided_briefing,2026-06-11T12:31:24.068Z,"{""stage"":""guided_briefing"",""missionKey"":""guided_briefing""}"
c0826dd0-354a-4488-abd3-52ad3d1738c9,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_abandoned,client,guided_briefing,guided_briefing,2026-06-11T12:30:17.560Z,"{""stage"":""guided_briefing"",""stepId"":""unknown"",""missionKey"":""guided_briefing""}"
910bb652-16d6-4881-92cd-8b71719c1eec,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:30:17.496Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
5d61c79b-6cf3-478a-95bf-25019fb82ae0,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:30:17.495Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
e3981fef-5808-43c9-a890-f211b0609568,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,guided_briefing,guided_briefing,2026-06-11T12:30:17.271Z,"{""stage"":""guided_briefing"",""missionKey"":""guided_briefing""}"
4d1494a0-c762-47c9-9831-826d23aba155,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:28:30.920Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
829ad8dc-6c16-4ee7-8ab0-fe76ab776301,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:28:30.900Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
0e8df960-399f-4476-84f8-b8293a4974a1,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:27:54.420Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
3f1aed9a-21b4-4f65-bc82-728f706d6c8c,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:27:54.406Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
60274de5-89d7-48ab-988f-a96e15b57ed0,95cd1bfc-0933-45e1-8688-3110a266cb4d,,mission_completed,server,review,review,2026-06-11T12:26:15.068Z,"{""stage"":""review"",""missionKey"":""review""}"
9dd7fceb-4488-47df-8cae-b1b4e7d2bf3b,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:25:24.760Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
d3a38269-79f0-42f0-ad64-ee7744d86804,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:25:24.759Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
e05b21da-e3c4-4926-a14a-49b42fdd1f6e,95cd1bfc-0933-45e1-8688-3110a266cb4d,466ef707-f9ba-430a-b03f-0065b9bee52d,cockpit_stage_entered,client,readiness,readiness,2026-06-11T12:24:28.574Z,"{""stage"":""readiness"",""missionKey"":""readiness""}"
